# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 600
# arc_length_m   : 1.70465
# arc_length_cm  : 170.465
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2007909,-0.5390127,0.0025662
0.0033389,-0.1990565,-0.5408982,0.0051282
0.0050083,-0.1973088,-0.5427665,0.0076864
0.0066778,-0.1955466,-0.5446168,0.0102416
0.0083472,-0.1937684,-0.5464484,0.0127944
0.0100167,-0.1919731,-0.5482605,0.0153454
0.0116861,-0.1901592,-0.5500525,0.0178951
0.0133556,-0.1883255,-0.5518236,0.0204444
0.0150250,-0.1864709,-0.5535729,0.0229939
0.0166945,-0.1845943,-0.5552999,0.0255443
0.0183639,-0.1826944,-0.5570037,0.0280962
0.0200334,-0.1807703,-0.5586836,0.0306505
0.0217028,-0.1788209,-0.5603388,0.0332078
0.0233723,-0.1768453,-0.5619687,0.0357689
0.0250417,-0.1748425,-0.5635725,0.0383347
0.0267112,-0.1728117,-0.5651494,0.0409059
0.0283806,-0.1707521,-0.5666988,0.0434832
0.0300501,-0.1686628,-0.5682200,0.0460676
0.0317195,-0.1665433,-0.5697122,0.0486598
0.0333890,-0.1643927,-0.5711749,0.0512606
0.0350584,-0.1622106,-0.5726073,0.0538709
0.0367279,-0.1599963,-0.5740089,0.0564915
0.0383973,-0.1577494,-0.5753790,0.0591231
0.0400668,-0.1554694,-0.5767170,0.0617667
0.0417362,-0.1531559,-0.5780223,0.0644230
0.0434057,-0.1508087,-0.5792944,0.0670928
0.0450751,-0.1484273,-0.5805327,0.0697769
0.0467446,-0.1460117,-0.5817368,0.0724760
0.0484140,-0.1435616,-0.5829062,0.0751909
0.0500835,-0.1410769,-0.5840403,0.0779221
0.0517529,-0.1385576,-0.5851388,0.0806705
0.0534224,-0.1360037,-0.5862013,0.0834367
0.0550918,-0.1334151,-0.5872273,0.0862211
0.0567613,-0.1307921,-0.5882167,0.0890245
0.0584307,-0.1281347,-0.5891689,0.0918473
0.0601002,-0.1254433,-0.5900839,0.0946901
0.0617696,-0.1227180,-0.5909612,0.0975531
0.0634391,-0.1199591,-0.5918008,0.1004369
0.0651085,-0.1171671,-0.5926023,0.1033417
0.0667780,-0.1143424,-0.5933658,0.1062678
0.0684474,-0.1114853,-0.5940910,0.1092155
0.0701169,-0.1085964,-0.5947780,0.1121849
0.0717863,-0.1056764,-0.5954265,0.1151761
0.0734558,-0.1027257,-0.5960368,0.1181893
0.0751252,-0.0997449,-0.5966087,0.1212243
0.0767947,-0.0967350,-0.5971424,0.1242813
0.0784641,-0.0936964,-0.5976379,0.1273600
0.0801336,-0.0906300,-0.5980955,0.1304603
0.0818030,-0.0875367,-0.5985152,0.1335820
0.0834725,-0.0844172,-0.5988973,0.1367248
0.0851419,-0.0812724,-0.5992421,0.1398884
0.0868114,-0.0781033,-0.5995498,0.1430724
0.0884808,-0.0749108,-0.5998208,0.1462764
0.0901503,-0.0716959,-0.6000554,0.1494999
0.0918197,-0.0684596,-0.6002541,0.1527423
0.0934891,-0.0652029,-0.6004172,0.1560031
0.0951586,-0.0619269,-0.6005453,0.1592816
0.0968280,-0.0586326,-0.6006388,0.1625771
0.0984975,-0.0553213,-0.6006982,0.1658890
0.1001669,-0.0519940,-0.6007242,0.1692164
0.1018364,-0.0486518,-0.6007174,0.1725586
0.1035058,-0.0452960,-0.6006783,0.1759146
0.1051753,-0.0419277,-0.6006077,0.1792836
0.1068447,-0.0385482,-0.6005063,0.1826647
0.1085142,-0.0351585,-0.6003747,0.1860569
0.1101836,-0.0317600,-0.6002138,0.1894593
0.1118531,-0.0283538,-0.6000242,0.1928707
0.1135225,-0.0249412,-0.5998069,0.1962903
0.1151920,-0.0215234,-0.5995626,0.1997168
0.1168614,-0.0181016,-0.5992922,0.2031492
0.1185309,-0.0146771,-0.5989967,0.2065864
0.1202003,-0.0112511,-0.5986768,0.2100273
0.1218698,-0.0078249,-0.5983335,0.2134708
0.1235392,-0.0043995,-0.5979677,0.2169156
0.1252087,-0.0009763,-0.5975805,0.2203606
0.1268781,0.0024436,-0.5971727,0.2238047
0.1285476,0.0058590,-0.5967454,0.2272467
0.1302170,0.0092686,-0.5962996,0.2306854
0.1318865,0.0126715,-0.5958362,0.2341197
0.1335559,0.0160664,-0.5953563,0.2375483
0.1352254,0.0194521,-0.5948609,0.2409701
0.1368948,0.0228278,-0.5943511,0.2443840
0.1385643,0.0261921,-0.5938278,0.2477889
0.1402337,0.0295442,-0.5932922,0.2511835
0.1419032,0.0328830,-0.5927452,0.2545668
0.1435726,0.0362075,-0.5921879,0.2579376
0.1452421,0.0395167,-0.5916213,0.2612950
0.1469115,0.0428098,-0.5910465,0.2646379
0.1485810,0.0460857,-0.5904644,0.2679652
0.1502504,0.0493438,-0.5898762,0.2712759
0.1519199,0.0525831,-0.5892827,0.2745691
0.1535893,0.0558029,-0.5886851,0.2778439
0.1552588,0.0590024,-0.5880842,0.2810994
0.1569282,0.0621809,-0.5874811,0.2843346
0.1585977,0.0653378,-0.5868766,0.2875488
0.1602671,0.0684724,-0.5862717,0.2907412
0.1619366,0.0715841,-0.5856674,0.2939111
0.1636060,0.0746725,-0.5850645,0.2970577
0.1652755,0.0777369,-0.5844638,0.3001805
0.1669449,0.0807770,-0.5838662,0.3032788
0.1686144,0.0837924,-0.5832724,0.3063520
0.1702838,0.0867826,-0.5826834,0.3093998
0.1719533,0.0897475,-0.5820997,0.3124215
0.1736227,0.0926866,-0.5815222,0.3154169
0.1752922,0.0955999,-0.5809515,0.3183855
0.1769616,0.0984871,-0.5803882,0.3213271
0.1786311,0.1013481,-0.5798329,0.3242415
0.1803005,0.1041828,-0.5792862,0.3271284
0.1819699,0.1069912,-0.5787487,0.3299878
0.1836394,0.1097733,-0.5782208,0.3328196
0.1853088,0.1125293,-0.5777030,0.3356238
0.1869783,0.1152591,-0.5771956,0.3384004
0.1886477,0.1179630,-0.5766990,0.3411495
0.1903172,0.1206411,-0.5762136,0.3438712
0.1919866,0.1232937,-0.5757396,0.3465659
0.1936561,0.1259212,-0.5752771,0.3492337
0.1953255,0.1285237,-0.5748265,0.3518750
0.1969950,0.1311018,-0.5743878,0.3544901
0.1986644,0.1336558,-0.5739611,0.3570795
0.2003339,0.1361862,-0.5735464,0.3596436
0.2020033,0.1386934,-0.5731438,0.3621830
0.2036728,0.1411781,-0.5727530,0.3646982
0.2053422,0.1436407,-0.5723741,0.3671899
0.2070117,0.1460820,-0.5720068,0.3696586
0.2086811,0.1485025,-0.5716509,0.3721051
0.2103506,0.1509029,-0.5713062,0.3745301
0.2120200,0.1532839,-0.5709723,0.3769345
0.2136895,0.1556463,-0.5706489,0.3793189
0.2153589,0.1579908,-0.5703356,0.3816842
0.2170284,0.1603181,-0.5700319,0.3840313
0.2186978,0.1626292,-0.5697372,0.3863611
0.2203673,0.1649248,-0.5694511,0.3886745
0.2220367,0.1672059,-0.5691730,0.3909724
0.2237062,0.1694731,-0.5689021,0.3932558
0.2253756,0.1717275,-0.5686379,0.3955256
0.2270451,0.1739700,-0.5683795,0.3977829
0.2287145,0.1762014,-0.5681262,0.4000287
0.2303840,0.1784227,-0.5678772,0.4022639
0.2320534,0.1806348,-0.5676316,0.4044896
0.2337229,0.1828387,-0.5673886,0.4067068
0.2353923,0.1850352,-0.5671472,0.4089165
0.2370618,0.1872254,-0.5669064,0.4111199
0.2387312,0.1894101,-0.5666653,0.4133179
0.2404007,0.1915903,-0.5664229,0.4155115
0.2420701,0.1937669,-0.5661781,0.4177019
0.2437396,0.1959409,-0.5659298,0.4198900
0.2454090,0.1981132,-0.5656769,0.4220769
0.2470785,0.2002846,-0.5654183,0.4242637
0.2487479,0.2024561,-0.5651529,0.4264513
0.2504174,0.2046285,-0.5648794,0.4286409
0.2520868,0.2068027,-0.5645968,0.4308334
0.2537563,0.2089796,-0.5643037,0.4330299
0.2554257,0.2111598,-0.5639991,0.4352313
0.2570952,0.2133443,-0.5636816,0.4374388
0.2587646,0.2155338,-0.5633501,0.4396532
0.2604341,0.2177291,-0.5630034,0.4418757
0.2621035,0.2199308,-0.5626401,0.4441071
0.2637730,0.2221396,-0.5622592,0.4463486
0.2654424,0.2243563,-0.5618592,0.4486010
0.2671119,0.2265813,-0.5614391,0.4508654
0.2687813,0.2288155,-0.5609975,0.4531428
